Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
Antecipação - Erro na Abertura de Conta,"[
  {
    ""title"": ""Diagnóstico do Erro: Ação Inicial"",
    ""content"": ""Solicitar ao cliente a mensagem exata que aparece na tela ou, se possível, um print do erro. A informação visual é crucial para o diagnóstico correto.""
  },
  {
    ""title"": ""Cenário 1: Mensagem de Inelegibilidade"",
    ""content"": ""Exemplo de Mensagem: \""Infelizmente não será possível prosseguir...\"" ou similar.\n\nSignificado: A análise automática de segurança ou de crédito barrou a abertura da conta para esta finalidade.\n\nAção: Informar ao cliente que, no momento, não há uma oferta de antecipação disponível para o perfil dele. Não é um erro técnico que possa ser corrigido.""
  },
  {
    ""title"": ""Cenário 2: Erro Técnico ou Desconhecido"",
    ""content"": ""Exemplo de Mensagem: \""Ocorreu um erro, tente novamente\"", \""Falha na comunicação\"", ou qualquer outra mensagem que não indique claramente uma negativa.\n\nAção: Abrir um chamado no grupo de suporte interno, anexando o print do erro e o CPF do cliente para que a equipe técnica possa investigar a causa.""
  }
]","abertura, antecipação, conta, erro",,,"adiantamento, antecipacao erro abertura, criar, erro conta antecipacao, falha, falha cadastro, login, problema abertura conta",Cadastro e APP > Aplicativo > Acesso > Acesso,,
Antecipação - Erro na Finalização,"Cenário: O cliente recebe uma mensagem de erro durante a etapa final da contratação da antecipação.

Significado do Erro: Causa: Este erro geralmente não é técnico.

Ele indica que a análise automática de segurança e crédito, realizada no último estágio, não aprovou a operação para o perfil do cliente naquele momento.

Ação e Orientação: Ação Interna: Não há ação a ser tomada pelo atendente, pois não é um erro que possa ser corrigido.

Comunicação ao Cliente: Informar que, infelizmente, não há uma oferta de crédito disponível para o perfil dele neste momento e que ele pode tentar novamente em uma oportunidade futur","antecipação, erro, finalização, validação",,,"adiantar, antecipacao erro finalizacao, erro validacao antecipacao, falha conclusao, problema, problema finalizar, validação, verificação",Empréstimos > Antecipação > Elegibilidade > Erro / Bug,,
Antecipação - Liquidação,"Método de Quitação: A liquidação padrão é automática, feita com o depósito da restituição pela Receita Federal.

Conta de Débito: O valor é debitado da conta associada à chave PIX (CPF) do cliente.

Valor Excedente: Se o valor da restituição for maior que a dívida, o saldo restante fica disponível na conta conta do cliente.","antecipação, liquidação, quitação, restituição",,,"antecipacao liquidacao, liquidar debito, pagamento final, quitar antecipacao, quitação, receber antes, restituição",Empréstimos > Trabalhador > Taxas e Juros > Valor de Taxas,,
Antecipação - Negativa,"Motivos: A negativa pode ocorrer por análise de crédito automática ou por restrições cadastrais internas.

Comunicação: Não é possível detalhar o motivo exato da negativa, pois o sistema não fornece essa informação.

A aprovação não pode ser forçada.","antecipação, inelegível, negativa, reprovação, restrição",,,"antecipacao negativa, inelegivel, inelegível, negado antecipacao, nome sujo, recusa, reprovacao, reprovação, resgate antecipado, restricao credito, restrição",Empréstimos > Antecipação > Produtos de Crédito > Como contratar,,
Antecipação - Por que o valor oferecido foi baixo?,"Argumento Principal (Orientar o Cliente):
<br>
 Análise de Crédito: Explique que o valor oferecido é resultado de uma análise de crédito automática, que leva em conta o perfil financeiro do cliente.
<br>
 Limite sobre a Restituição: Esclareça que o valor também é limitado a um percentual do total que o cliente tem a receber de restituição, como forma de segurança.
<br><br>
Ponto Chave:
<br>
 A oferta gerada pelo sistema é final e não pode ser alterada manualmente.","Valor baixo, análise de crédito, aumentar valor, limite, oferta, percentual, pouco dinheiro, queria mais, restituição, simulação",,,"antecipacao valor baixo, antecipar restituição, análise de crédito, aumentar oferta, aumentar valor, limite, limite baixo, oferta, oferta baixa, percentual, porque pouco dinheiro, pouco dinheiro, queria mais, restituição, simulação, valor baixo",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
Antecipação - Posso contratar com CPF irregular?,"[ { ""title"": ""Diagnóstico (Ação Interna)"", ""content"": ""Verifique se a dúvida do cliente é sobre a situação cadastral do CPF dele na Receita Federal."" }, { ""title"": ""Orientação ao Cliente"", ""content"": ""Regra: Informe que, para contratar a antecipação, o CPF precisa estar com o status 'Regular' na Receita Federal.\n\nComo Verificar: Oriente o cliente a consultar a situação do seu CPF diretamente no site oficial da Receita Federal.\n\nPróximo Passo: Caso o CPF esteja com alguma pendência (suspenso, cancelado, etc.), o cliente deve primeiro resolver a situação junto à Receita para depois tentar uma nova contratação."" } ]","antecipação, contratar, cpf, irregular, posso",,,"antecipacao cpf irregular, contratar cpf pendente, cpf suspenso, crédito antecipado, impedimento cpf, pendente, situacao cadastral",Empréstimos > Antecipação > Liquidação > Quitação do contrato,,
Antecipação - Quitação Antecipada,"Como Fazer: O pagamento é feito exclusivamente pelo aplicativo.

Caminho no App: Página Inicial > Rolar para baixo > ""Próximos Pagamentos"" > Selecionar a antecipação.

Métodos: A quitação pode ser feita via PIX ou cartão de crédito.

Valor: O valor para quitação é o saldo deved","antecipada, antecipação, app, pagamento, quitação",,,"adiantamento, amortizar antecipacao, antecipacao quitacao antecipada, aplicativo, app, liquidar antes, pagamento, pagamento adiantado",IRPF | IRPF e Restituição > Duvída > Recebimento Lote padrão > Atraso no repasse,,
Antecipação - Validação de documento,"Sistema de Verificação (CAF): Solicita selfie e um documento de identificação válido.
<br>
Documentos Aceitos:
<br>
RG: Original físico, padrão nacional. (Não são aceitos RGs militares ou de conselhos).
<br>
CNH: Física ou Digital (em formato PDF), emitida há menos de 10 anos.
<br>
Resultado da Análise:
<br>
Aprovado: Cliente segue para a assinatura da CCB.
<br>
Não Aprovado: App exibe mensagem de que não será possível prosseguir. (Neste caso, informar que não há oferta disponível no momento, sem detalhar motivos técnicos).","CAF, CNH, antecipação, documento, validação",,,"adiantar, antecipacao validacao doc, caf, cnh, conferência, documento erro, rg, selfie validacao",App | Cadastro e App > Duvída > App > Erro - Bug,,
Antecipação - Valores,"Composição da Proposta:
<br><br>
Valor da Restituição: O total calculado pela Receita Federal.
<br>
Valor para Antecipação: A quantia que será depositada para o cliente.
<br>
Taxas e Encargos: Os custos da operação.
<br>
Valor Final: O montante líquido que o cliente receberá.
<br><br>
Aviso: Todos esses dados são exibidos de forma clara no app para análise antes da confirmação.","antecipação, valores",,,"antecipacao valores, limite valores, oferta valores, receber antes, simulacao valores, valor oferecido",Antecipação da Restituição | Crédito > Duvída > Antecipação > Custo do serviço,,
Antecipação contratação,"[ { ""title"": ""Passo 1: Acessar e fazer login"", ""content"": ""Acesse o aplicativo Velotax e realize o login com suas credenciais."" }, { ""title"": ""Passo 2: Selecionar a opção"", ""content"": ""No menu principal, selecione a opção 'Antecipar Restituição'."" }, { ""title"": ""Passo 3: Consultar os valores"", ""content"": ""Analise a restituição total, o valor disponível para antecipação, as taxas e o valor líquido a ser creditado."" }, { ""title"": ""Passo 4: Prosseguir com a solicitação"", ""content"": ""Se estiver de acordo com os valores e condições, continue com o processo de solicitação."" }, { ""title"": ""Passo 5: Verificar identidade"", ""content"": ""Realize a verificação de identidade enviando uma selfie e a foto de um documento oficial."" }, { ""title"": ""Passo 6: Fazer a portabilidade do PIX"", ""content"": ""Faça a portabilidade da sua chave PIX CPF para concluir o processo."" } ]","antecipar, antecipação, contratação",,,"antecipacao contratar, antecipar, como contratar antecipacao, processo contratacao, resgate antecipado, simulacao contratacao, solicitar",-,,
Antecipação critérios,"Requisitos para Contratação: Concordar com os valores e termos da proposta exibida no app.
<br>
Realizar a verificação de identidade (selfie + documento).
<br>
Fazer a portabilidade da chave PIX (CPF) para a conta Velotax.","antecipação, critérios",,,"antecipacao criterios, antecipar restituição, condicoes, elegibilidade, regras antecipacao, requisitos antecipacao",Cadastro e APP > Aplicativo > Acesso > Acesso,,
App - Alteração de Número de Telefone,"Diagnóstico do Cenário: Verificação: Identificar em qual tela o cliente está enfrentando o problema com o número de telefone.
<br><br>
Fluxos de Ação: Cenário 1: Tela de Validação do GOV.BR Causa: O número de telefone está vinculado à conta do governo (gov.br), não ao cadastro da Velotax.
<br>
Ação: O cliente precisa acessar o site do gov.br e fazer a atualização do número de telefone diretamente por lá.
<br><br>
Cenário 2: Cadastro Interno da Velotax Causa: O número está incorreto no nosso próprio sistema.
<br>
Ação: Seguir o mesmo procedimento de segurança para alteração de e-mail: solicitar ao cliente uma selfie segurando um documento de identificação e, após o recebimento, escalar para o time interno fazer a alteração.","alteração, app, atualização, numero, número, telefone, trocar",,,"app alteracao numero, atualizar, atualizar telefone, atualização, celular, mudanca numero, numero, trocar, trocar telefone app",Conta | conta> Solicitação > conta > Fechar conta,,
App - Atualizar dados,"[
  {
    ""title"": ""Passo 1: Coletar informações iniciais"",
    ""content"": ""Solicite o CPF do cliente, o novo e-mail/telefone desejado e peça que ele confirme qual era o e-mail/telefone antigo cadastrado.""
  },
  {
    ""title"": ""Passo 2: Validar o novo contato"",
    ""content"": ""Envie uma macro de saudação para o novo e-mail e peça para o cliente confirmar o recebimento.""
  },
  {
    ""title"": ""Passo 3: Iniciar o processo de validação"",
    ""content"": ""Após a confirmação de recebimento, envie a macro '[Atendimento] Troca de e-mail - Validação com foto' para o cliente.""
  },
  {
    ""title"": ""Passo 4: Solicitar a alteração internamente"",
    ""content"": ""Após o recebimento da selfie com documento ao lado do rosto, e tamebem a imagem do documento em si, verificar a identidade do cliente, e envie o CPF e o novo e-mail no grupo do chat interno solicitando a alteração.""
  },
  {
    ""title"": ""Passo 5: Informar o prazo ao cliente"",
    ""content"": ""Comunique ao cliente que a alteração do e-mail ou telefone será concluída no sistema em até 24 horas.""
  }
]
","Dados do cliente, alterar dados, e-mail, email, numero, trocar, trocar numero",,,"alterar dados, alterar dados app, app atualizar dados, atualizar info, dados do cliente, e-mail, email, mobile, mudanca dados, numero, trocar, trocar email, trocar numero",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
App - Atualizar situação,"Caminho no App: Impostos (menu inferior) > Declarações Passadas > Rolar até o final > Botão ""Atualizar"".

Requisito: Será necessário fazer login com a conta gov.br para que o sistema possa sincronizar as informações mais recentes da Receita Federal.","Impostos, app, atualizar, gov.br, situação",,,"app atualizar situacao, gov br atualizacao, gov.br, impostos, impostos situacao, plataforma digital, status atualizacao",Dados do Usuário | Cadastro e App > Solicitação > Conta e cadastro > Fechar conta,,
App - Cancelamento de conta Celcoin,"Pré-requisitos para Exclusão: Saldo Zerado: A conta não pode ter nenhum valor disponível.

Portabilidade da Chave PIX: O cliente deve primeiro solicitar a portabilidade da chave PIX (CPF) para outro banco e confirmá-la no app Velotax.

Conclusão: Somente após essas duas etapas a exclusão da conta Celcoin pode ser concluída.","app, cancelamento, celcoin, conta, excluir conta",,,"aplicativo celcoin, app cancelar celcoin, cancelamento celcoin, cancelar, conta digital, encerrar conta celcoin, excluir conta, exclusao celcoin, ferramenta digital",Empréstimos > Antecipação > Elegibilidade > Erro / Bug,,
App - Cancelar procuração,"O que é: A procuração autoriza a Velotax a consultar informações fiscais na Receita Federal.

Como Cancelar: O processo é feito pelo cliente no portal MIR com a conta gov.br.

Passos: Acessar Portal MIR > Menu ""Procurações"" > Localizar a da Velotax > Clicar em ""Cancelar"".

Impacto do Cancelamento: Sem a procuração ativa, a Velotax não consegue mais acompanhar a declaração ou identificar pendências.","Portal MIR, app, cancelar, procuração",,,"app cancelar procuracao, app móvel, cancelamento procuracao, portal mir, portal mir cancelar, revogar procuracao",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
App - Cobrança exibida,"Ação: Consultar no sistema os serviços que o cliente contratou.

Confirmar a origem do débito (antecipação, tarifa, plano, etc.).

Informar ao cliente o valor exato e a qual serviço a cobrança se refere.

Se o cliente não reconhecer, registrar um ticket e escalar para a área de análise.","cobrança aplicativo, cobrança operação, débito app, tarifa, taxa, valor cobrado, ver cobrança",,,"aplicativo, app cobranca exibida, cobrança aplicativo, cobrança operação, debito app, débito, débito app, tarifa, tarifa exibida, taxa, valor cobrado, valor cobrado app, ver cobranca app, ver cobrança",Chaves PIX | conta > Duvida > conta > Legislação e regras,,
App - Como acessar a conta ,"Passo a Passo: Acessar o aplicativo da Velotax.

Clicar no ícone do conta localizado no menu inferior da tela.","acessar, app, celcoin, conta",,,"acesso Conta, app acessar Conta, celcoin, celular, conta corrente, entrar conta Conta, login Conta, plataforma celcoin",Cadastro e APP > Cadastro > Atualização > Atualização,,
App - Consulta de contrato,"Caminho no App: Menu ""Impostos"" (na parte inferior). ""Declarações passadas"".

Selecionar o ano da antecipação.

Rolar a tela até o final para localizar ""Documentos da operação"".","acessar contrato, consultar contrato, contrato antecipação, documento contrato, documentos operação, ver contrato",,,"acessar contrato, acessar documento, app consultar contrato, consulta operacao, consultar contrato, contrato antecipação, documento contrato, documentos operação, mobile, ver contrato, ver contrato app",conta > Conta > Movimentações > Limite de Transferência,,
App - Excluir conta Velotax,"Condição Obrigatória: Quitar todas as pendências financeiras (como antecipação) antes de solicitar a exclusão.

A exclusão não cancela dívidas.

Como Excluir (Sem Pendências):

 Pelo App: Acessar Impostos > DARFs para investidor > menu no canto superior esquerdo >Conta e selecionar “Excluir conta”.

 Pelo Site: Fazer login, ir em “Conta” e clicar em “Excluir conta”.

Aviso: A ação é permanente e remove todos os dados da plataforma.","antecipação pendente, aplicativo, exclusão, plano ativo, site",,,"antecipação pendente, aplicativo, app excluir velotax, deletar conta velotax, encerrar velotax, exclusao app, exclusão, perfil, plano ativo, plataforma digital, site",Cadastro e APP > Aplicativo > Acesso > Acesso,,
App - Falha na contratação,"Diagnóstico: Verificar com o cliente a mensagem exata de erro.

Causa Provável: Geralmente, a falha ocorre por instabilidade na conexão ou por uma versão desatualizada do aplicativo.

Ação Imediata: Orientar o cliente a verificar a internet, atualizar o app e tentar novamente.

Se Persistir: Registrar um ticket e encaminhar para análise do suporte técnico.","contratar, erro contratação, falha contratação, finalizar contratação, não consigo contratar, problema contratar",,,"app falha contratacao, contratar, erro contratar app, erro contratação, falha contratação, falha simulacao, fechar negócio, ferramenta digital, finalizar contratação, não consigo contratar, problema contratacao, problema contratar",Cadastro e APP > Aplicativo > Acesso > Acesso,,
App - O que fazer em caso de erro ou instabilidade?,"[
  {
    ""title"": ""Passo 1: Verificar Conexão"",
    ""content"": ""Peça para o cliente confirmar se a conexão com a internet (Wi-Fi ou 4G/5G) está estável.""
  },
  {
    ""title"": ""Passo 2: Atualizar o App"",
    ""content"": ""Oriente o cliente a verificar na App Store ou Google Play se existe uma atualização disponível para o Velotax.""
  },
  {
    ""title"": ""Passo 3: Limpar Cache"",
    ""content"": ""Instrua o cliente a ir nas configurações do celular, localizar o app Velotax e selecionar \""Limpar Cache\"".""
  },
  {
    ""title"": ""Passo 4: Reinstalar o App"",
    ""content"": ""Como última tentativa, sugira desinstalar e reinstalar o aplicativo.""
  },
  {
    ""title"": ""Escalonamento (Ação Interna)"",
    ""content"": ""Se o erro persistir, solicite ao cliente um print da tela, o modelo do celular e o que ele estava fazendo. Com essas informações, siga o procedimento de escalonamento para o time técnico.""
  }
]","Erro no app, aplicativo não abre, atualizar, falha, lento, limpar cache, não funciona, reinstalar, suporte técnico, travando",,,"aplicativo não abre, app erro instabilidade, app móvel, atualizar, erro no app, falha, falha app, inconsistência, lento, limpar cache, não funciona, reinstalar, reinstalar app, suporte técnico, travando, travando app",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
App - Problemas de login,"Passos de Resolução: Verificar se o aplicativo está atualizado para a última versão.

Limpar o cache do aplicativo.

Tentar o login novamente.

Se Persistir: Solicitar ao cliente detalhes do erro ou um print da tela para análise.","acessar, acesso, erro no login, não consegue acessar, não consegue entrar, prioblema no login",,,"acessar, acesso, acesso negado, aplicativo, app problemas login, entrar, erro login, erro no login, nao entra app, não consegue acessar, não consegue entrar, prioblema no login, senha errada",Empréstimos > Antecipação > Repasse de valores > Contestação contratação,,
App - Reativar conta,"Cenário: Cliente excluiu a conta, mas precisa reativá-la (geralmente para fazer a portabilidade de uma chave PIX que ficou presa). (Guia Interno) Procedimento: Pegar o CPF do cliente e a solicitação ""REATIVAR CONTA"".

Enviar no grupo de chat B2C no formato: ""[CPF]

- REATIVAR CONTA"".

Informar ao cliente que o prazo para a reativação é de até 24 horas úteis.","app, conta, reativar, reativação de conta",,,"acesso, app reativar conta, ativar novamente, celular, conta desativada, reabilitação, reativacao app, reativação de conta",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
Ausencia de ativo,"Ação: Solicitar mais detalhes ao cliente para poder analisar o caso.

Script Sugerido: ""Para que eu possa verificar o que aconteceu, poderia me enviar um print da tela onde você notou a ausência do ativo e me informar qual ativo ou valor deveria constar?

Com essas informações, consigo analisar de forma mais precisa.""","ativo, ativo faltando, ausencia",,,"ativo ausente, ativo faltando, ausencia ativo, erro ativo, falta ativo, saldo, sem ativo",Empréstimos > Antecipação > Liquidação > Contestação contratação,,
boas vindas,"Olá, tudo bem?

No que posso ajudar hoje?","Fala velotax, beleza, iae, iai, oiii, olaa, olá, opa",,,"beleza, bem vindo, fala velotax, iae, iai, inicio atendimento, oiii, ola, olaa, olá, opa, saudacao",IRPF | IRPF e Restituição > Duvída > Recebimento Lote padrão > Atraso no repasse,,
Veloprime - Cancelamento,"Regra Principal: O cancelamento com estorno só é possível se o cliente não tiver utilizado nenhuma funcionalidade paga do plano (como emissão de DARF ou relatórios).

Prazo: A solicitação deve ocorrer em até 7 dias corridos da contratação.

Procedimento: Se as regras forem cumpridas, encaminhar para o financeiro.

Caso contrário, o cancelamento não é possível.","cancelamento, prazo para cancelamento, veloprime",,,"cancelamento plano, cancelar assinatura, encerrar plano, estorno plano, excluir, prazo para cancelamento",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
CCB - Cédula de crédito bancario O que é?,"Definição: A CCB (Cédula de Crédito Bancário) é o contrato digital que formaliza a operação de antecipação da restituição.

Validade: Possui validade jurídica e detalha todas as condições do crédito.

Conteúdo: Inclui valor antecipado, taxas, forma de quitação e encargos.

Processo: A assinatura é 100% digital e segura, sendo um passo obrigatório para a contratação.","Contrato, bancario, ccb, clausula
CCB - Cédula de crédito bancario O que é?, crédito, cédula",,,"ccb o que e, cedula credito, clausula
ccb - cédula de crédito bancario o que é?, contrato, contrato ccb, credito bancario, crédito consignado, crédito rápido, cédula de crédito bancário, definicao ccb",Empréstimos > Antecipação > Liquidação > Depósito da restituição,,
